"PermitNum","StatusCurrent","AppliedDate","IssuedDate","CompletedDate","PermitType","PermitTypeMapped","PermitClass","PermitClassGroup","PermitClassMapped","WorkClass","WorkClassGroup","WorkClassMapped","Description","ApplicantName","ContractorName","HousingUnits","EstProjectCost","TotalSqFt","OriginalAddress","CommunityCode","CommunityName","Latitude","Longitude","LocationCount","LocationTypes","LocationAddresses","LocationsWKT","LocationsGeoJSON","Point"
"BP2010-01482","Completed","2010/02/09","2010/02/09","2010/03/18","Residential Improvement Project","Building","1101 - Basement Development","Single Family","Residential","Alteration","Improvement","Existing","Basement Dev",,,"0","$17,191",,"55 HARVEST PARK TC NE","HAR","HARVEST HILLS","51.14429940965","-114.05944691634","1","Titled Parcel","55 HARVEST PARK TC NE","POINT (-114.05944691633968 51.14429940965486)","{""type"":""Point"",""coordinates"":[-114.0594469,51.1442994]}","POINT (-114.05944691633968 51.14429940965486)"
"BP2014-08017","Expired","2014/06/02","2014/06/02","2015/06/05","Residential Improvement Project","Building","1301 - Private Detached Garage","Garage","Residential","New","New","New","Garage","ABSOLUTELY AFFORDABLE HOME IMPROVEMENTS","ABSOLUTELY AFFORDABLE HOME IMPROVEMENTS","0","$23,380",,"40 HARVEST ROSE CI NE","HAR","HARVEST HILLS","51.14260380901","-114.05859928268","2","Titled Parcel;Building","40 HARVEST ROSE CI NE;40 HARVEST ROSE CI NE","MULTIPOINT (-114.05859928267617 51.142603809014346,-114.05857424736716 51.142695811953175)","{""type"":""MultiPoint"",""coordinates"":[[-114.0585993,51.1426038],[-114.0585742,51.1426958]]}","POINT (-114.05859928267617 51.142603809014346)"
"BP2019-16179","Completed","2019/11/29","2020/10/09","2022/02/25","Single Construction Permit","Building","1407 - Two Family Semi-Detached (1 Unit)","Two Family","Residential","New","New","New","SEMI-D,BSMT-DEV,GARAGE,DECK,PORCH,","CEDARGLEN GROUP (THE)","CEDARGLEN GROUP (THE)","1","$255,626","1,946","16 HARVEST GROVE CM NE","HAR","HARVEST HILLS","51.14811885392","-114.04485388443","2","Titled Parcel;Building","16 HARVEST GROVE CM NE;16 HARVEST GROVE CM NE","MULTIPOINT (-114.04485388443109 51.14811885391736,-114.0448002750907 51.148209183719395)","{""type"":""MultiPoint"",""coordinates"":[[-114.0448539,51.1481189],[-114.0448003,51.1482092]]}","POINT (-114.04485388443109 51.14811885391736)"
"BP2012-03265","Cancelled","2012/03/26","2012/03/26","2012/08/28","Residential Improvement Project","Building","1301 - Private Detached Garage","Garage","Residential","New","New","New","Garage",,,"0",,,"44 HARVEST GLEN ME NE","HAR","HARVEST HILLS","51.144544149","-114.05281984034","2","Titled Parcel;Building","44 HARVEST GLEN ME NE;44 HARVEST GLEN ME NE","MULTIPOINT (-114.05281984034262 51.14454414899986,-114.05284602052896 51.14465540119929)","{""type"":""MultiPoint"",""coordinates"":[[-114.0528198,51.1445441],[-114.052846,51.1446554]]}","POINT (-114.05281984034262 51.14454414899986)"
"BP2019-01972","Completed","2019/02/26","2019/03/06","2020/05/06","Commercial / Multi Family Project","Building","1606 - Ths Townhouse","Townhouse","Residential","New","New","New","New Building - Harvest Hills The Terrace Building #17","NORR ARCHITECTS ENGINEERS PLANNERS",,"6","$1,406,000",,"418 HARVEST GROVE WK NE","HAR","HARVEST HILLS","51.15254717568","-114.04228072763","8","Titled Parcel;Titled Parcel;Building;Building;Building;Building;Building;Building","310 HARVEST HILLS WY NE;276 HARVEST HILLS WY NE;428 HARVEST GROVE WK NE;424 HARVEST GROVE WK NE;426 HARVEST GROVE WK NE;420 HARVEST GROVE WK NE;422 HARVEST GROVE WK NE;418 HARVEST GROVE WK NE","MULTIPOINT (-114.04228072763124 51.152547175676844,-114.0427872397024 51.1514143059664,-114.04168244311754 51.15168835631459,-114.04184319251792 51.15170851646211,-114.04176376778278 51.15169783827052,-114.0420190635835 51.151727484334714,-114.04193963769968 51.15171561964001,-114.04210795076906 51.1517381499575)","{""type"":""MultiPoint"",""coordinates"":[[-114.0422807,51.1525472],[-114.0427872,51.1514143],[-114.0416824,51.1516884],[-114.0418432,51.1517085],[-114.0417638,51.1516978],[-114.0420191,51.1517275],[-114.0419396,51.1517156],[-114.042108,51.1517381]]}","POINT (-114.04228072763124 51.152547175676844)"
"BP2021-02704","Completed","2021/02/23","2021/03/08","2021/09/22","Single Construction Permit","Building","1106 - Single Family House","Single Family","Residential","New","New","New","SFD,GARAGE,PORCH,","CEDARGLEN GROUP (THE)","CEDARGLEN GROUP (THE)","1","$345,247","2,152","30 HARVEST HILLS WY NE","HAR","HARVEST HILLS","51.14743828111","-114.04946707915","2","Titled Parcel;Building","30 HARVEST HILLS WY NE;30 HARVEST HILLS WY NE","MULTIPOINT (-114.04946707915138 51.14743828110926,-114.04930464695495 51.147397366216715)","{""type"":""MultiPoint"",""coordinates"":[[-114.0494671,51.1474383],[-114.0493046,51.1473974]]}","POINT (-114.04946707915138 51.14743828110926)"
"BP2022-02550","Completed","2022/02/18","2022/03/08","2022/07/26","Single Construction Permit","Building","1106 - Single Family House","Single Family","Residential","New","New","New","SFD,FIREPLACE,GARAGE,DECK,PORCH,","WAVE HOMES","WAVE HOMES","1","$395,944","2,409","73 HARVEST HILLS MR NE","HAR","HARVEST HILLS","51.15321621811","-114.04412265435","2","Titled Parcel;Building","73 HARVEST HILLS MR NE;73 HARVEST HILLS MR NE","MULTIPOINT (-114.04412265435415 51.1532162181094,-114.04411107257829 51.15315246847589)","{""type"":""MultiPoint"",""coordinates"":[[-114.0441227,51.1532162],[-114.0441111,51.1531525]]}","POINT (-114.04412265435415 51.1532162181094)"
"BP2019-00438","Completed","2019/01/15","2019/02/13","2019/07/03","Single Construction Permit","Building","1407 - Two Family Semi-Detached (1 Unit)","Two Family","Residential","New","New","New","SEMI-D,BSMT-DEV,GARAGE,DECK,PORCH,","CEDARGLEN GROUP (THE)","CEDARGLEN GROUP (THE)","1","$258,049","1,946","79 HARVEST GROVE CM NE","HAR","HARVEST HILLS","51.14791277069","-114.0430522561","2","Titled Parcel;Building","79 HARVEST GROVE CM NE;79 HARVEST GROVE CM NE","MULTIPOINT (-114.04305225609613 51.14791277069402,-114.04289182018617 51.14790877533571)","{""type"":""MultiPoint"",""coordinates"":[[-114.0430523,51.1479128],[-114.0428918,51.1479088]]}","POINT (-114.04305225609613 51.14791277069402)"
"BP2003-02756","Completed","2003/03/13","2003/04/11","2004/07/02","Single Construction Permit","Building","1106 - Single Family House","Single Family","Residential","New","New","New","SFD,BSMT-DEV,FIREPLACE,GARAGE,DECK,PORCH,",,,"1","$139,078","1,497","106 HARVEST CREEK CL NE","HAR","HARVEST HILLS","51.14647422281","-114.04363480141","1","Titled Parcel","106 HARVEST CREEK CL NE","POINT (-114.04363480141492 51.14647422280703)","{""type"":""Point"",""coordinates"":[-114.0436348,51.1464742]}","POINT (-114.04363480141492 51.14647422280703)"
"BP2021-05530","Completed","2021/04/07","2021/06/07","2022/01/13","Single Construction Permit","Building","1106 - Single Family House","Single Family","Residential","New","New","New","SFD,BSMT-DEV,GARAGE,DECK,PORCH,","CEDARGLEN GROUP (THE)","CEDARGLEN GROUP (THE)","1","$470,188","2,794","281 HARVEST HILLS WY NE","HAR","HARVEST HILLS","51.1516389424","-114.0430673009","2","Titled Parcel;Building","281 HARVEST HILLS WY NE;281 HARVEST HILLS WY NE","MULTIPOINT (-114.04306730089812 51.151638942401206,-114.04321944086894 51.15166890245652)","{""type"":""MultiPoint"",""coordinates"":[[-114.0430673,51.1516389],[-114.0432194,51.1516689]]}","POINT (-114.04306730089812 51.151638942401206)"
"BP2000-03829","Completed","2000/04/20","2000/05/02","2001/06/28","Residential Improvement Project","Building","1106 - Addition","Single Family","Residential","Addition","Improvement","Existing","Addition","SUNSHINE SOLARIUMS","SUNSHINE SOLARIUMS","0","$8,783",,"576 HARVEST HILLS DR NE","HAR","HARVEST HILLS","51.1447007491","-114.0610015084","1","Titled Parcel","576 HARVEST HILLS DR NE","POINT (-114.06100150839917 51.144700749097716)","{""type"":""Point"",""coordinates"":[-114.0610015,51.1447007]}","POINT (-114.06100150839917 51.144700749097716)"
"BP2003-08085","Completed","2003/06/24","2003/06/24","2003/09/04","Residential Improvement Project","Building","1101 - Basement Development","Single Family","Residential","Alteration","Improvement","Existing","Basement Dev","VANGO CUSTOM HOME BUILDERS",,"0","$10,426",,"87 HARVEST PARK WY NE","HAR","HARVEST HILLS","51.14906073321","-114.05554449283","1","Titled Parcel","87 HARVEST PARK WY NE","POINT (-114.05554449283117 51.149060733205815)","{""type"":""Point"",""coordinates"":[-114.0555445,51.1490607]}","POINT (-114.05554449283117 51.149060733205815)"
"BP2005-02104","Completed","2005/02/24","2005/02/24","2005/05/31","Residential Improvement Project","Building","1404 - Deck","Two Family","Residential","Alteration","Improvement","Existing","Deck",,,"0","$278",,"50 HARVEST LAKE VI NE","HAR","HARVEST HILLS","51.14760434274","-114.05155529119","1","Titled Parcel","50 HARVEST LAKE VI NE","POINT (-114.05155529119142 51.14760434273952)","{""type"":""Point"",""coordinates"":[-114.0515553,51.1476043]}","POINT (-114.05155529119142 51.14760434273952)"
"BP2006-05707","Completed","2006/04/10","2006/04/10","2006/08/21","Residential Improvement Project","Building","1301 - Private Detached Garage","Garage","Residential","New","New","New","Garage",,,"0","$10,692",,"9750 HARVEST HILLS LI NE","HAR","HARVEST HILLS","51.14228558955","-114.05454153151","1","Titled Parcel","9750 HARVEST HILLS LI NE","POINT (-114.05454153151369 51.14228558955395)","{""type"":""Point"",""coordinates"":[-114.0545415,51.1422856]}","POINT (-114.05454153151369 51.14228558955395)"
"BP2007-01963","Completed","2007/02/21","2007/02/21","2008/10/17","Residential Improvement Project","Building","1101 - Basement Development","Single Family","Residential","Alteration","Improvement","Existing","Basement Dev",,,"0","$11,228",,"69 HARVEST CREEK CL NE","HAR","HARVEST HILLS","51.14575006068","-114.04462960933","1","Titled Parcel","69 HARVEST CREEK CL NE","POINT (-114.04462960932662 51.145750060680506)","{""type"":""Point"",""coordinates"":[-114.0446296,51.1457501]}","POINT (-114.04462960932662 51.145750060680506)"
"BP2006-12818","Completed","2006/07/26","2006/07/26","2006/09/01","Residential Improvement Project","Building","1301 - Private Detached Garage","Garage","Residential","New","New","New","Garage",,,"0","$10,692",,"201 HARVEST ROSE CI NE","HAR","HARVEST HILLS","51.14179888275","-114.0585792858","1","Titled Parcel","201 HARVEST ROSE CI NE","POINT (-114.05857928579523 51.141798882750535)","{""type"":""Point"",""coordinates"":[-114.0585793,51.1417989]}","POINT (-114.05857928579523 51.141798882750535)"
"BP2016-01728","Completed","2016/02/29","2016/02/29","2016/03/23","Residential Improvement Project","Building","1101 - Basement Development","Single Family","Residential","Alteration","Improvement","Existing","Basement Dev",,,"0","$14,526",,"157 HARVEST PARK WY NE","HAR","HARVEST HILLS","51.14996418513","-114.05742485425","2","Titled Parcel;Building","157 HARVEST PARK WY NE;157 HARVEST PARK WY NE","MULTIPOINT (-114.05742485424979 51.14996418513344,-114.05726050665717 51.150005321071745)","{""type"":""MultiPoint"",""coordinates"":[[-114.0574249,51.1499642],[-114.0572605,51.1500053]]}","POINT (-114.05742485424979 51.14996418513344)"
"BP2011-08417","Completed","2011/07/12","2011/07/12","2011/11/22","Residential Improvement Project","Building","1104 - Deck","Single Family","Residential","Alteration","Improvement","Existing","Deck",,,"0","$4,162",,"36 HARVEST OAK DR NE","HAR","HARVEST HILLS","51.15239890164","-114.06217371382","2","Titled Parcel;Building","36 HARVEST OAK DR NE;36 HARVEST OAK DR NE","MULTIPOINT (-114.06217371382475 51.15239890164458,-114.062167456663 51.152518538135745)","{""type"":""MultiPoint"",""coordinates"":[[-114.0621737,51.1523989],[-114.0621675,51.1525185]]}","POINT (-114.06217371382475 51.15239890164458)"
"BP2023-16278","Issued Permit","2023/09/21","2023/10/10",,"Residential Improvement Project","Building","1101 - Basement Development","Single Family","Residential","Alteration","Improvement","Existing","Basement Dev",,,"0","$27,724",,"226 HARVEST CREEK CL NE","HAR","HARVEST HILLS","51.1462590592","-114.04768314822","2","Titled Parcel;Building","226 HARVEST CREEK CL NE;226 HARVEST CREEK CL NE","MULTIPOINT (-114.04768314821665 51.146259059199174,-114.04784543969609 51.146252061964425)","{""type"":""MultiPoint"",""coordinates"":[[-114.0476831,51.1462591],[-114.0478454,51.1462521]]}","POINT (-114.04768314821665 51.146259059199174)"
"BP2020-05842","Completed","2020/05/14","2020/05/26","2020/10/14","Residential Improvement Project","Building","1104 - Deck","Single Family","Residential","Alteration","Improvement","Existing","Deck",,,"0","$8,808",,"169 HARVEST HILLS DR NE","HAR","HARVEST HILLS","51.15175391909","-114.0565194469","2","Titled Parcel;Building","169 HARVEST HILLS DR NE;169 HARVEST HILLS DR NE","MULTIPOINT (-114.05651944689946 51.15175391909105,-114.05657253689719 51.15163996862461)","{""type"":""MultiPoint"",""coordinates"":[[-114.0565194,51.1517539],[-114.0565725,51.15164]]}","POINT (-114.05651944689946 51.15175391909105)"
"BP2000-01195","Completed","2000/02/10","2000/02/28","2000/07/14","Single Construction Permit","Building","1106 - Single Family House","Single Family","Residential","New","New","New","SFD,FIREPLACE,GARAGE,PORCH,","HOMES BY AVI (CANADA)","HOMES BY AVI (CANADA)","1","$132,944","1,904","1127 HARVEST HILLS DR NE","HAR","HARVEST HILLS","51.147020718","-114.04838613376","1","Titled Parcel","1127 HARVEST HILLS DR NE","POINT (-114.04838613376405 51.14702071799767)","{""type"":""Point"",""coordinates"":[-114.0483861,51.1470207]}","POINT (-114.04838613376405 51.14702071799767)"
"BP2017-07780","Completed","2017/06/23","2017/06/23","2017/06/28","Residential Improvement Project","Building","1101 - Improvements (Single Family)","Single Family","Residential","Alteration","Improvement","Existing",,,,"0","$450",,"1125 HARVEST HILLS DR NE","HAR","HARVEST HILLS","51.14695773202","-114.04852843158","2","Titled Parcel;Building","1125 HARVEST HILLS DR NE;1125 HARVEST HILLS DR NE","MULTIPOINT (-114.0485284315825 51.14695773201895,-114.04864841553285 51.14704093463849)","{""type"":""MultiPoint"",""coordinates"":[[-114.0485284,51.1469577],[-114.0486484,51.1470409]]}","POINT (-114.0485284315825 51.14695773201895)"
"BP2005-02103","Completed","2005/02/24","2005/02/24","2005/09/27","Residential Improvement Project","Building","1404 - Deck","Two Family","Residential","Alteration","Improvement","Existing","Deck",,,"0","$278",,"40 HARVEST LAKE VI NE","HAR","HARVEST HILLS","51.14711942692","-114.05153525646","1","Titled Parcel","40 HARVEST LAKE VI NE","POINT (-114.05153525645734 51.147119426917314)","{""type"":""Point"",""coordinates"":[-114.0515353,51.1471194]}","POINT (-114.05153525645734 51.147119426917314)"
"BP2014-18030","Completed","2014/11/20","2014/11/20","2014/12/05","Residential Improvement Project","Building","1101 - Basement Development","Single Family","Residential","Alteration","Improvement","Existing","Basement Dev","J N S ENTERPRIZE",,"0","$18,941",,"109 HARVEST GLEN WY NE","HAR","HARVEST HILLS","51.14313403978","-114.04864132206","2","Titled Parcel;Building","109 HARVEST GLEN WY NE;109 HARVEST GLEN WY NE","MULTIPOINT (-114.04864132205955 51.14313403978034,-114.04846592388243 51.14307406218368)","{""type"":""MultiPoint"",""coordinates"":[[-114.0486413,51.143134],[-114.0484659,51.1430741]]}","POINT (-114.04864132205955 51.14313403978034)"
"BP2017-14547","Completed","2017/10/31","2017/11/02","2020/11/16","Single Construction Permit","Building","1106 - Single Family House","Single Family","Residential","New","New","New","SFD,FIREPLACE,GARAGE,PORCH,","CEDARGLEN GROUP (THE)","CEDARGLEN GROUP (THE)","1","$416,888","2,586","333 HARVEST HILLS WY NE","HAR","HARVEST HILLS","51.15291113779","-114.04259862882","2","Titled Parcel;Building","333 HARVEST HILLS WY NE;333 HARVEST HILLS WY NE","MULTIPOINT (-114.04259862882134 51.152911137786596,-114.04270644689558 51.152909884881886)","{""type"":""MultiPoint"",""coordinates"":[[-114.0425986,51.1529111],[-114.0427064,51.1529099]]}","POINT (-114.04259862882134 51.152911137786596)"
"BP2022-16809","Hold","2022/10/03",,,"Residential Improvement Project","Building","1301 - Private Detached Garage","Garage","Residential","New","New","New","Garage",,"ELEGANT CONSTRUCTION","0","$42,434",,"118 HARVEST GLEN WY NE","HAR","HARVEST HILLS","51.14324505467","-114.04895842652","2","Titled Parcel;Building","118 HARVEST GLEN WY NE;118 HARVEST GLEN WY NE","MULTIPOINT (-114.04895842652104 51.14324505466696,-114.04910133302258 51.14322866069459)","{""type"":""MultiPoint"",""coordinates"":[[-114.0489584,51.1432451],[-114.0491013,51.1432287]]}","POINT (-114.04895842652104 51.14324505466696)"
"BP1999-07939","Completed","1999/07/02","1999/07/02","2001/02/23","Residential Improvement Project","Building","1301 - Private Detached Garage","Garage","Residential","New","New","New","Garage",,,"0","$9,570",,"118 HARVEST GLEN WY NE","HAR","HARVEST HILLS","51.14324505467","-114.04895842652","1","Titled Parcel","118 HARVEST GLEN WY NE","POINT (-114.04895842652104 51.14324505466696)","{""type"":""Point"",""coordinates"":[-114.0489584,51.1432451]}","POINT (-114.04895842652104 51.14324505466696)"
"BP2004-12321","Completed","2004/09/13","2004/09/13","2006/03/03","Residential Improvement Project","Building","1101 - Basement Development","Single Family","Residential","Alteration","Improvement","Existing","Basement Dev",,,"0","$6,388",,"286 HARVEST OAK RI NE","HAR","HARVEST HILLS","51.15064683853","-114.06300647109","1","Titled Parcel","286 HARVEST OAK RI NE","POINT (-114.06300647109417 51.150646838527706)","{""type"":""Point"",""coordinates"":[-114.0630065,51.1506468]}","POINT (-114.06300647109417 51.150646838527706)"
"BP1999-07915","Completed","1999/07/02","1999/07/02","1999/07/19","Residential Improvement Project","Building","1401 - Basement Development","Two Family","Residential","Alteration","Improvement","Existing","Basement Dev",,,"0","$10,584",,"349 HARVEST LAKE GR NE","HAR","HARVEST HILLS","51.15083159888","-114.04813851378","1","Titled Parcel","349 HARVEST LAKE GR NE","POINT (-114.04813851377648 51.15083159887928)","{""type"":""Point"",""coordinates"":[-114.0481385,51.1508316]}","POINT (-114.04813851377648 51.15083159887928)"
"BP2006-15756","Completed","2006/09/12","2006/09/12","2006/12/04","Residential Improvement Project","Building","1301 - Private Detached Garage","Garage","Residential","New","New","New","Garage","KILLIAN PROJECTS","KILLIAN PROJECTS","0","$11,807",,"272 HARVEST GOLD CI NE","HAR","HARVEST HILLS","51.14373763851","-114.06247178059","1","Titled Parcel","272 HARVEST GOLD CI NE","POINT (-114.06247178059384 51.1437376385054)","{""type"":""Point"",""coordinates"":[-114.0624718,51.1437376]}","POINT (-114.06247178059384 51.1437376385054)"
"BP2005-11620","Completed","2005/08/05","2005/08/09","2005/12/13","Residential Improvement Project","Building","1101 - Improvements (Single Family)","Single Family","Residential","Repair","Improvement","Existing",,"FSH MCKINNON","FSH MCKINNON","0","$169,150",,"188 HARVEST WOOD WY NE","HAR","HARVEST HILLS","51.1538748907","-114.05220541931","1","Titled Parcel","188 HARVEST WOOD WY NE","POINT (-114.05220541930616 51.153874890699726)","{""type"":""Point"",""coordinates"":[-114.0522054,51.1538749]}","POINT (-114.05220541930616 51.153874890699726)"
"BP2008-11425","Completed","2008/09/08","2008/09/09","2008/10/17","Residential Improvement Project","Building","1301 - Private Detached Garage","Garage","Residential","New","New","New","Garage","ABSOLUTELY AFFORDABLE HOME IMPROVEMENTS","ABSOLUTELY AFFORDABLE HOME IMPROVEMENTS","0","$22,236",,"268 HARVEST ROSE CI NE","HAR","HARVEST HILLS","51.14152394849","-114.05620949892","1","Titled Parcel","268 HARVEST ROSE CI NE","POINT (-114.05620949891916 51.14152394849154)","{""type"":""Point"",""coordinates"":[-114.0562095,51.1415239]}","POINT (-114.05620949891916 51.14152394849154)"
"BP2012-10853","Completed","2012/08/07","2012/08/07","2012/10/12","Residential Improvement Project","Building","1101 - Improvements (Single Family)","Single Family","Residential","Alteration","Improvement","Existing",,,,"0","$1,500",,"360 HARVEST ROSE CI NE","HAR","HARVEST HILLS","51.14248715967","-114.05601321371","1","Titled Parcel","360 HARVEST ROSE CI NE","POINT (-114.05601321370611 51.14248715966611)","{""type"":""Point"",""coordinates"":[-114.0560132,51.1424872]}","POINT (-114.05601321370611 51.14248715966611)"
"BP2021-19898","Completed","2021/11/19","2021/12/16","2022/02/07","Residential Improvement Project","Building","1110 - Below Grade Suite","Secondary Suites","Residential","New","New","New","Secondary Suite","TOMMY BUILDS","TOMMY BUILDS","1","$107,067",,"11205R HARVEST WOOD RD NE","HAR","HARVEST HILLS","51.1538520648","-114.05472599636","3","Titled Parcel;Building;Building Suite","11205 HARVEST WOOD RD NE;11205 HARVEST WOOD RD NE;11205R HARVEST WOOD RD NE","MULTIPOINT (-114.05472599635974 51.153852064798905,-114.05492991818255 51.15384022884711,-114.05504977145276 51.153800933052835)","{""type"":""MultiPoint"",""coordinates"":[[-114.054726,51.1538521],[-114.0549299,51.1538402],[-114.0550498,51.1538009]]}","POINT (-114.05472599635974 51.153852064798905)"
"BP2015-04978","Completed","2015/05/04","2015/05/04","2015/05/22","Residential Improvement Project","Building","1101 - Basement Development","Single Family","Residential","Alteration","Improvement","Existing","Basement Dev",,,"0","$16,630",,"29 HARVEST OAK DR NE","HAR","HARVEST HILLS","51.15213948018","-114.06236044127","2","Titled Parcel;Building","29 HARVEST OAK DR NE;29 HARVEST OAK DR NE","MULTIPOINT (-114.06236044127255 51.15213948018298,-114.06232387813358 51.15202287800126)","{""type"":""MultiPoint"",""coordinates"":[[-114.0623604,51.1521395],[-114.0623239,51.1520229]]}","POINT (-114.06236044127255 51.15213948018298)"
"BP2000-07434","Completed","2000/07/10","2000/07/10","2000/09/13","Residential Improvement Project","Building","1301 - Private Detached Garage","Garage","Residential","New","New","New","Garage",,,"0","$5,141",,"20 HARVEST OAK WY NE","HAR","HARVEST HILLS","51.152355772","-114.05519889417","1","Titled Parcel","20 HARVEST OAK WY NE","POINT (-114.05519889417486 51.15235577200192)","{""type"":""Point"",""coordinates"":[-114.0551989,51.1523558]}","POINT (-114.05519889417486 51.15235577200192)"
"BP2017-02522","Completed","2017/03/20","2017/03/20","2017/09/12","Residential Improvement Project","Building","1104 - Deck","Single Family","Residential","Alteration","Improvement","Existing","Deck",,,"0","$14,198",,"9 HARVEST PARK CO NE","HAR","HARVEST HILLS","51.15072534214","-114.0565368575","2","Titled Parcel;Building","9 HARVEST PARK CO NE;9 HARVEST PARK CO NE","MULTIPOINT (-114.05653685749552 51.150725342138756,-114.05672307568341 51.15076477013611)","{""type"":""MultiPoint"",""coordinates"":[[-114.0565369,51.1507253],[-114.0567231,51.1507648]]}","POINT (-114.05653685749552 51.150725342138756)"
"BP2003-06913","Completed","2003/06/03","2003/06/03","2003/06/11","Residential Improvement Project","Building","1101 - Basement Development","Single Family","Residential","Alteration","Improvement","Existing","Basement Dev, Fireplace",,,"0","$103,868",,"9776 HARVEST HILLS LI NE","HAR","HARVEST HILLS","51.14295466868","-114.05465177375","1","Titled Parcel","9776 HARVEST HILLS LI NE","POINT (-114.05465177374947 51.14295466868333)","{""type"":""Point"",""coordinates"":[-114.0546518,51.1429547]}","POINT (-114.05465177374947 51.14295466868333)"
"BP2007-01917","Completed","2007/02/20","2007/02/20","2007/02/23","Residential Improvement Project","Building","1101 - Basement Development","Single Family","Residential","Alteration","Improvement","Existing","Basement Dev",,,"0","$15,840",,"327 HARVEST GROVE PL NE","HAR","HARVEST HILLS","51.14846894786","-114.04613792555","1","Titled Parcel","327 HARVEST GROVE PL NE","POINT (-114.04613792554822 51.148468947860316)","{""type"":""Point"",""coordinates"":[-114.0461379,51.1484689]}","POINT (-114.04613792554822 51.148468947860316)"
"BP2020-11602","Cancelled","2020/08/21",,"2020/09/09","Residential Improvement Project","Building","1101 - Improvements (Single Family)","Single Family","Residential","Alteration","Improvement","Existing","Improvements","WOLFBAY CAFE",,"0",,,"88 HARVEST PARK RD NE","HAR","HARVEST HILLS","51.15119444471","-114.05738634524","2","Titled Parcel;Building","88 HARVEST PARK RD NE;88 HARVEST PARK RD NE","MULTIPOINT (-114.0573863452395 51.15119444471151,-114.05737043091666 51.15131661177488)","{""type"":""MultiPoint"",""coordinates"":[[-114.0573863,51.1511944],[-114.0573704,51.1513166]]}","POINT (-114.0573863452395 51.15119444471151)"
"BP2017-14440","Completed","2017/10/27","2017/10/27","2018/09/19","Residential Improvement Project","Building","1101 - Basement Development","Single Family","Residential","Alteration","Improvement","Existing","Basement Dev",,,"0","$2,024",,"932 HARVEST HILLS DR NE","HAR","HARVEST HILLS","51.14380862011","-114.05143118884","2","Titled Parcel;Building","932 HARVEST HILLS DR NE;932 HARVEST HILLS DR NE","MULTIPOINT (-114.05143118884186 51.14380862011413,-114.05129856560451 51.143717002610074)","{""type"":""MultiPoint"",""coordinates"":[[-114.0514312,51.1438086],[-114.0512986,51.143717]]}","POINT (-114.05143118884186 51.14380862011413)"
"BP2022-07028","Cancelled","2022/04/29",,"2022/05/20","Residential Improvement Project","Building","9999 - Unspecified","Unspecified","Residential","Alteration","Improvement","Existing","Improvements",,,"0",,,"201 HARVEST GOLD CI NE","HAR","HARVEST HILLS","51.14390129444","-114.06439351991","2","Titled Parcel;Building","201 HARVEST GOLD CI NE;201 HARVEST GOLD CI NE","MULTIPOINT (-114.0643935199089 51.14390129444391,-114.06434127871778 51.14399906690452)","{""type"":""MultiPoint"",""coordinates"":[[-114.0643935,51.1439013],[-114.0643413,51.1439991]]}","POINT (-114.0643935199089 51.14390129444391)"
"ERP2010-00037","Completed","2010/05/04","2011/07/13","2012/04/10","Environmental Restoration Permit","Building","1106 - House","Single Family","Residential","Alteration","Improvement","Existing","Alteration - Remediation for moisture damage","ENCHANT MANAGEMENT","ENCHANT MANAGEMENT","0","$43,478",,"23 HARVEST PARK WY NE","HAR","HARVEST HILLS","51.15047671851","-114.05542670149","1","Titled Parcel","23 HARVEST PARK WY NE","POINT (-114.05542670148681 51.15047671851127)","{""type"":""Point"",""coordinates"":[-114.0554267,51.1504767]}","POINT (-114.05542670148681 51.15047671851127)"
"BP2019-01970","Completed","2019/02/26","2019/03/05","2019/12/09","Commercial / Multi Family Project","Building","1606 - Ths Townhouse","Townhouse","Residential","New","New","New","New Building -  Harvest Hlls The Terrace Building #3","NORR ARCHITECTS ENGINEERS PLANNERS",,"4","$1,026,300",,"296 HARVEST HILLS WY NE","HAR","HARVEST HILLS","51.15254717568","-114.04228072763","5","Titled Parcel;Building;Building;Building;Building","310 HARVEST HILLS WY NE;302 HARVEST HILLS WY NE;298 HARVEST HILLS WY NE;296 HARVEST HILLS WY NE;300 HARVEST HILLS WY NE","MULTIPOINT (-114.04228072763124 51.152547175676844,-114.04235412016007 51.15199377833277,-114.04240695573412 51.15187578010239,-114.04242807747572 51.15182439706246,-114.04238130077242 51.15194048732005)","{""type"":""MultiPoint"",""coordinates"":[[-114.0422807,51.1525472],[-114.0423541,51.1519938],[-114.042407,51.1518758],[-114.0424281,51.1518244],[-114.0423813,51.1519405]]}","POINT (-114.04228072763124 51.152547175676844)"
"BP2021-09712","Completed","2021/06/03","2021/07/05","2022/02/22","Single Construction Permit","Building","1106 - Single Family House","Single Family","Residential","New","New","New","SFD,GARAGE,PORCH,","CEDARGLEN GROUP (THE)","CEDARGLEN GROUP (THE)","1","$422,943","2,645","141 HARVEST HILLS WY NE","HAR","HARVEST HILLS","51.14960560377","-114.04745027749","2","Titled Parcel;Building","141 HARVEST HILLS WY NE;141 HARVEST HILLS WY NE","MULTIPOINT (-114.047450277494 51.149605603771306,-114.04754957874631 51.14969714021206)","{""type"":""MultiPoint"",""coordinates"":[[-114.0474503,51.1496056],[-114.0475496,51.1496971]]}","POINT (-114.047450277494 51.149605603771306)"
